Language,Word,Original_IPA,No Mapping_IPA,No Mapping_Result,Minimal R-Fix_IPA,Minimal R-Fix_Result,Full Mapping_IPA,Full Mapping_Result,DeepPhon Native_IPA,DeepPhon Native_Result
German,Mädchen,mˈɛːdçən,mˈɛːdçən,medken,mˈɛːdçən,medken,mˈɛːdçən,medken,mˈɛːdçən,medken
German,sprechen,ʃpɾˈɛçən,ʃpɾˈɛçən,shprecken,ʃpɹˈɛçən,shprecken,ʃpɹˈɛçən,shprecken,ʃpɾˈɛçən,shprecken
German,Küche,kˈʏçə,kˈʏçə,kika,kˈʏçə,kika,kˈʏçə,kika,kˈʏçə,kika
German,auch,dˈiː,dˈiː,d,dˈiː,d,dˈiː,d,dˈiː,d
German,Nacht,nˈaxt,nˈaxt,nked,nˈaxt,nked,nˈaxt,nked,nˈaxt,nked
German,Weihnachten,vˈaɪhnaxtən,vˈaɪhnaxtən,vihncton,vˈaɪhnaxtən,vihncton,vˈaɪhnaxtən,vihncton,vˈaɪhnaxtən,vihncton
German,große,gɾˈoːsə,gɾˈoːsə,erosa,ɡɹˈoːsə,grsa,ɡɹˈoːsə,grsa,ɡɾˈoːsə,grsa
German,Straße,ʃtɾˈɑːsə,ʃtɾˈɑːsə,chtrasa,ʃtɹˈɑːsə,chtrasa,ʃtɹˈɑːsə,chtrasa,ʃtɾˈɑːsə,chtrasa
German,Freund,frˈɔønt,frˈɔønt,fraeant,fɹˈɔønt,fraeant,fɹˈɔønt,fraeant,fɹˈɔønt,fraeant
German,Bruder,bɾˈuːdɜ,bɾˈuːdɜ,bruda,bɹˈuːdɜ,bruda,bɹˈuːdɜ,bruda,bɾˈuːdɜ,bruda
German,sprechen,ʃpɾˈɛçən,ʃpɾˈɛçən,shprecken,ʃpɹˈɛçən,shprecken,ʃpɹˈɛçən,shprecken,ʃpɾˈɛçən,shprecken
German,größer,gɾˈøːsɜ,gɾˈøːsɜ,eresa,ɡɹˈøːsɜ,gresa,ɡɹˈøːsɜ,gresa,ɡɾˈøːsɜ,gresa
German,hören,hˈøːrən,hˈøːrən,heron,hˈøːɹən,heron,hˈøːɹən,heron,hˈøːɹən,heron
German,können,kˌœnən,kˌœnən,caughnan,kˌœnən,caughnan,kˌœnən,caughnan,kˌœnən,caughnan
German,müssen,mˈʏsən,mˈʏsən,mison,mˈʏsən,mison,mˈʏsən,mison,mˈʏsən,mison
German,schön,ʃˈøːn,ʃˈøːn,schan,ʃˈøːn,schan,ʃˈøːn,schan,ʃˈøːn,schan
German,Flugzeug,flˈuːgtsɔøk,flˈuːgtsɔøk,fewert-sauake,fɫˈuːɡtsɔøk,flugtsak,fɫˈuːɡtsɔøk,flugtsak,fɫˈuːɡtsɔøk,flugtsak
German,Krankenhaus,kɾˈankənhˌaʊs,kɾˈankənhˌaʊs,krencenhous,kɹˈankənhˌaʊs,krencenhous,kɹˈankənhˌaʊs,krencenhous,kɾˈankənhˌaʊs,krencenhous
German,Geschäft,gəʃˈɛft,gəʃˈɛft,urasheft,ɡəʃˈɛft,gusheft,ɡəʃˈɛft,gusheft,ɡəʃˈɛft,gusheft
French,première,pʁəmjˈɛʁ,pʁəmjˈɛʁ,promiare,pɹəmjˈɛɹ,promiare,pɹəmjˈɛɹ,promiare,pʁəmjˈɛʁ,promiare
French,frère,fʁˈɛʁ,fʁˈɛʁ,fraire,fɹˈɛɹ,fraire,fɹˈɛɹ,fraire,fʁˈɛʁ,fraire
French,pourquoi,puʁkwˌa,puʁkwˌa,porqw,puɹkwˌa,porqw,puɹkwˌa,porqw,puʁkwˌa,porqw
French,restaurant,ʁɛstoʁˈɑ̃,ʁɛstoʁˈɑ̃,restora,ɹɛstoɹˈɑ̃,restora,ɹɛstoɹˈɑ̃,restora,ʁɛstoʁˈɑ̃,restora
French,parisien,paʁizjˈɛ̃,paʁizjˈɛ̃,prizie,paɹizjˈɛ̃,prizie,paɹizjˈɛ̃,prizie,paʁizjˈɛ̃,prizie
French,prendre,pʁˈɑ̃dʁ,pʁˈɑ̃dʁ,prodr,pɹˈɑ̃dɹ,prodr,pɹˈɑ̃dɹ,prodr,pʁˈɑ̃dʁ,prodr
French,enfant,ɑ̃fˈɑ̃,ɑ̃fˈɑ̃,afa,ɑ̃fˈɑ̃,afa,ɑ̃fˈɑ̃,afa,ɑ̃fˈɑ̃,afa
French,temps,tˈɑ̃,tˈɑ̃,ta,tˈɑ̃,ta,tˈɑ̃,ta,tˈɑ̃,ta
French,impossible,ɛ̃pɔsˈibl,ɛ̃pɔsˈibl,eposib,ɛ̃pɔsˈibɫ,eposibl,ɛ̃pɔsˈibɫ,eposibl,ɛ̃pɔsˈibɫ,eposibl
French,maintenant,mɛ̃tnˈɑ̃,mɛ̃tnˈɑ̃,metna,mɛ̃tnˈɑ̃,metna,mɛ̃tnˈɑ̃,metna,mɛ̃tnˈɑ̃,metna
